agency,db_type,country_name,country,paid,registration_required,government_db,url,notes,blog_post,video_url
Registre de Commerce et des Sociétés,Business Registry,Luxembourg,LU,True,True,True,https://www.rcsl.lu/login/TAMLoginServlet?TAM_OP=cert_login&USERNAME=unauthenticated&ERROR_CODE=0x00000000&ERROR_TEXT=Successful%20completion&METHOD=GET&URL=/mjrcs/LoginServlet&HOSTNAME=www.rcsl.lu&AUTHNLEVEL=&FAILREASON=&PROTOCOL=https,Available: detailed company information,,
Commission for Surveilance of Financial Sector,Business Registry,Luxembourg,LU,False,False,True,http://www.cssf.lu/en/supervised-entities/,Available: listo of supervised entities,,
Macedonian Central Registry,Business Registry,Macedonia (FYROM),MK,False,False,True,http://www.crm.com.mk/DS/,Available: several registries at the same site. Available only in Macedonian,,
Registry of Securities,Business Registry,Macedonia (FYROM),MK,False,False,True,http://www.sec.gov.mk/default.aspx?item=rassociations&subitem=rassociationsmain,Avalable: list of all issued securities and reports including companies with special reporting obligations,,
Macedonian Stock Exchange,Business Registry,Macedonia (FYROM),MK,False,False,True,http://www.mse.mk/en/,Available: listo of issuers and their reports,,
Government Printing Bureau,Business Registry,Macau,MO,False,False,True,http://en.io.gov.mo/Search/Default.aspx?t=C,Available: company search and basic company information,,
Companies Commission of Malaysia,Business Registry,Malaysia,MY,False,True,True,https://www.ssm-einfo.my/,Available: company search and basic company information,,
Securities Commission Malaysia,Business Registry,Malaysia,MY,False,False,True,http://www.sc.com.my/sub.asp?menuid=242,"AvailaAvailable: list of Shariah compliant securities, unit trust funds in Malaysia, list of unit trust funds etc.",,
Malta Financial Services Authority,Business Registry,Malta,MT,False,False,True,http://rocsupport.mfsa.com.mt/pages/SearchCompanyInformation.aspx,"Available: Company name, ID number, address, location",,
Marshal Islands Martime & Corporate Administrators,Business Registry,Marshall Islands,MH,False,False,True,http://www.register-iri.com/miCorporate/index.cfm/Corporate/search,Available: Search by name or number and basic company information,,
Ministry of Finance and Economic Development,Business Registry,Mauritius,MU,False,False,True,http://www.register-iri.com/miCorporate/index.cfm/Corporate/search,Available: search by name and basic company information,,
Secretariat of Economy,Business Registry,Mexico,MX,False,False,True,http://www.siger.gob.mx/,Available: list of all state and municipal commercial registries which do not provide online searches,,
Mexico Stock Exchange,Business Registry,Mexico,MX,False,False,True,http://www.bmv.com.mx/,Available: list of all issuers and basic company information,,
Monaco Government,Business Registry,Monaco,MC,False,False,True,http://www.rci.gouv.mc/,Available: search by name and basic company information,,
Ministry of Finance,Business Registry,Montenegro,ME,False,False,True,http://www.crps.me/index.php/me/pretraga-registra,Available: detailed company information,,
Central Depository Agency,Business Registry,Montenegro,ME,False,False,True,http://www.cda.me/EN/Pages/Naslovna.aspx,"Available: ID number, name, address, symbol, ISIN, number of shareholders, number of shares",,
Securities Commission,Business Registry,Montenegro,ME,False,False,True,http://www.scmn.me//index.php,Available: financial reports of traded companies,,
Montenegro Stock Exchange,Business Registry,Montenegro,ME,False,False,True,http://www.montenegroberza.com/code/navigate.asp?Id=87,Available: financial reports of traded companies,,
Realestate Administration Agency,Land Registry,Montenegro,ME,False,False,True,http://www.nekretnine.co.me/me/Katastarski_podaci.asp,"Available: search only by Unique Personal ID gives all the land property registered in someone's name, its size and any other available details",,
directinfo.ma,Business Registry,Morocco,MA,False,False,True,http://www.directinfo.ma/,Available: search by name and basic company information,,
Conseil Déontologique des Valeurs Mobilières,Business Registry,Morocco,MA,False,False,True,http://www.cdvm.gov.ma/,Available: list of issuers with basic company information,,
Kamer van Koophandel,Business Registry,Netherlands,NL,True,True,True,https://www.kvk.nl/handelsregister/zoekenframeset.asp?url=https://server.db.kvk.nl/wwwsrvu/html/zoek.htm,Available: detailed company information and original documents,,
Open KvK,Business Registry,Netherlands,NL,False,False,True,http://www.openkvk.nl/,"Available: short information about company name, personal name, or list of companies at a certain address",,
Chamber of Commerce and Industry,Business Registry,Curaçao ,CW,False,False,True,http://www.curacao-chamber.cw/services/registry/search-company,Available: basic company information. More detailed information is avalable at request,,
Companies Office,Business Registry,New Zealand,NZ,False,False,True,http://www.business.govt.nz/companies/app/ui/pages/companies/search,Available: detailed company information,,
New Zealand Stock Exchange,Business Registry,New Zealand,NZ,False,False,True,https://www.nzx.com/markets/NZSX,Available: list of all issuers and company reports,,
Corporate Affairs Commission,Business Registry,Nigeria,NG,False,False,True,http://cacnigeria.org/jm/,Online search is not availablw,,
Securities and Exchange Commission,Business Registry,Nigeria,NG,False,False,True,http://www.sec.gov.ng/,Available: regulation of market and statistics,,
Companies Office,Business Registry,Niue,NU,False,False,True,http://www.companies.gov.nu/cms/search-the-register/register-search/banner_template/CNAME,Available: company search and basic company information,,
Brønnøysund Register Centre,Business Registry,Norway,False,False,True,True,https://w2.brreg.no/enhet/sok/,Available: company search and basic company information,,
proff.no,Commercial Register,Norway,False,True,True,False,http://www.proff.no/,"Available: map of connections and relations between company board members, managing directors and stock owners etc.",,
Brennpunkt,Business Registry,Norway,False,False,False,False,http://www.nrk.no/maktbasen/index.php?lang=en,Available: information on current local and national politicians in Norway,,
Infoland.no,Commercial Register,Norway,False,True,True,False,https://www.infoland.no/portal/infoland/,"Available: cadastral, company, due dilligence and other information",,
Ministry of Commerce and Industry,Business Registry,Oman,OM,False,False,True,https://www.business.gov.om/wps/portal/pes/services/searchcommercialname/!ut/p/c5/,Available: search by name and basic company information,,
Securities and Exchange Commission of Pakistan,Business Registry,Pakistan,PK,False,False,True,http://www.secp.gov.pk/ns/index.asp,Available: search by name and basic company information,,
Karachi Stock Exchange,Business Registry,Pakistan,PK,False,False,True,http://www.kse.com.pk/,Available: search by name and basic company information,,
Registro Publico,Business Registry,Panama,PA,False,True,True,https://www.registro-publico.gob.pa/,Available: search by company number (Numero de Ficha) and basic company information,,
ohuiginn.net,Scraped Database,Panama,PA,False,False,False,http://ohuiginn.net/panama,Available: search by company name or by the name of director,,
Undersecretary of State Taxation,Business Registry,Paraguay,PY,False,True,True,https://marangatu.set.gov.py/eset/perfilPublicoContribIService.do,Available: search by tax number,,
National Superindendency of Public Registries,Business Registry,Peru,PE,False,False,True,http://www.sunarp.gob.pe/RelacionS_01.asp,Available: search by name and basic company information,,
Philippine Business Registry,Business Registry,Philippines,PH,False,False,True,http://www.business.gov.ph/web/guest/search,Available: search by name and basic company information,,
Ministry of Justice,Business Registry,Poland,PL,False,False,True,https://ems.ms.gov.pl/krs/wyszukiwaniepodmiotu,Available: search only in Poland and basic company information,,
Warsaw Stock Exchange,Business Registry,Poland,PL,False,False,True,http://www.gpw.pl/lista_spolek_en,Available: search only in Poland and basic company information,,
Ministry of Justice,Business Registry,Romania,RO,False,False,True,https://portal.onrc.ro/ONRCPortalWeb/ONRCPortal.portal,,,
Registrul CNVM,Business Registry,Romania,RO,False,False,True,http://www.cnvmr.ro/RCNVM/index.htm,,,
Bucharest Stock Exchange,Business Registry,Romania,RO,False,False,True,http://www.bvb.ro/Companies/ListedCompanies.aspx,,,
Federal Tax Authority,Business Registry,Russian Federation,RU,False,False,True,http://egrul.nalog.ru/,"Available: Basic company information, Information on: representatives etc.",,
Enquiry Service of Legal Entities,Business Registry,Russian Federation,RU,True,False,False,http://russianpartner.biz/,Available: purchase of more detailed company profiles,,
Federal Service for Financial Market,Business Registry,Russian Federation,RU,False,False,True,http://www.ffms.ru/ru/contributors/financialmarket/emitters/emitterslist/,Available: a list of issuers for which the Federal Financial Markets Service is the registration authority,,
disclosure.ru,Business Registry,Russian Federation,RU,True,True,False,http://www.disclosure.ru/datacapital_tools/extsearch.jsp,Available: financial reports,,
skrin.ru,Business Registry,Russian Federation,RU,False,False,False,http://disclosure.skrin.ru/issuers.asp?id=4,Available: lists of issuers and reports for some companies,,
Central Securities Depository and Clearing House,Business Registry,Serbia,RS,False,False,True,http://www.crhov.rs/index.cfm?Opcija=1&jezik=en,Available: lists of issuers and company reports,,
Serbian Business Registers Agency,Business Registry,Serbia,RS,False,False,True,http://pretraga2.apr.gov.rs/ObjedinjenePretrage/Search/Search,Available: search in latin or cyrillic with detailed company results,,
Securities Commission,Business Registry,Serbia,RS,False,False,True,http://www.sec.gov.rs/index.php?option=com_content&task=category&sectionid=7&id=17&Itemid=56,"Available: Broker-Dealer Companies, Authorised Banks, Custody Banks, Investment Fund Management Companies, Investment Funds",,
Belgrade Stock Exchange,Business Registry,Serbia,RS,False,False,True,http://www.belex.rs/eng/clanovi/spisak_clanova,Available: lists of issuers and company reports,,
Public Procurements Registry,Business Registry,Serbia,RS,False,True,True,http://portal.ujn.gov.rs/Default.aspx,Available: all public,,
Serbian Business Registers Agency,Business Registry,Serbia,RS,False,False,True,http://pretraga.apr.gov.rs/udruzenja/AssociationSearch.aspx,Available: information on NGOs,,
Serbian Business Registers Agency,Business Registry,Serbia,RS,False,False,True,http://www.apr.gov.rs/eng/Registers/FinancialLeasing/Search.aspx,Available: search in latin or cyrillic and financial leasing information,,
Serbian Business Registers Agency,Business Registry,Serbia,RS,False,False,True,http://pretraga2.apr.gov.rs/ObjedinjenePretrage/Search/Search,Available: information on entrepreneurs and small companies,,
Serbian National Bank,Business Registry,Serbia,RS,False,False,True,http://www.nbs.rs/internet/english/index.html,Available: a list of all authorised financial institutions and companies,,
Serbian Courts Registry,Court Registry,Serbia,RS,False,False,True,http://tpson.portal.sud.rs/libra_portal_full/default.cfm,Available: search for court cases at all levels by case name or number; only available in Serbian,,
Anti-Corruption Agency Serbia,Regulatory Agency,Serbia,RS,False,False,True,http://www.acas.rs/sr_lat/aktuelnosti/114.html,Available: data on property of state officials; search available by official's name,,
"Ministry of Commerce, Industry and Labor",Business Registry,Samoa,WS,False,False,True,https://www.companies.gov.ws/,Available: search by name or company official with basic company information,,
Archive of the Economic Activities of The Republic of San Marino,Business Registry,San Marino,SM,False,False,True,https://registroimprese.cc.sm/,Available: search by company name with basic company information,,
Bizfile,Business Registry,Singapore,SG,False,False,True,https://www.psi.gov.sg/NASApp/tmf/TMFServlet?app=RCB-BIZFILE-LOGIN-1B,Available: search by company name with basic company information,,
Open Corporates,Business Registry,GLOBAL,GLOBAL,False,False,False,http://opencorporates.com/,Available: search by company name or company's official. Results list all the places where a company with a specific name is registered and a link to the relevan registry.,,
Ministry of Justice,Business Registry,Slovak Republic,SK,False,False,True,http://www.orsr.sk/default.asp?lan=en,Available: search by company name with basic company information,,
Bratislava Stock Exchange,Business Registry,Slovak Republic,SK,False,False,True,http://www.bsse.sk/bcpben/MainPage/tabid/104/language/en-US/Default.aspx,"Available: a list of issuers, basic company information and financial reprots for some",,
Central Securities Clearing Corporation,Business Registry,Slovenia,SI,False,False,True,http://www-en.kdd.si/,"Available: list of issuers, list of securities",,
Info Storage,Business Registry,Slovenia,SI,False,False,True,http://www.oam.si/default_en.aspx?doc=ISSUERS,"Available: list of issuers, list of securities with company contact information",,
Ljubljana Stock Exchange,Business Registry,Slovenia,SI,False,False,True,http://www.ljse.si/cgi-bin/jve.cgi?doc=7026,Available: search by company name with basic company information,,
AJPES,Business Registry,Slovenia,SI,False,True,True,http://www.ajpes.si/Default.asp?language=english&mdres=1,Available: search for all company types and detailed company information,,
Companies and Intellectual Property Commission,Business Registry,South Africa,ZA,False,True,True,http://www.cipro.gov.za/2/home/,Available: search for all company types and detailed company information,,
Department of Trade and Industry,Business Registry,South Africa,ZA,False,False,True,http://www.dti.gov.za/,"No online search is avalable, but per request this department could provide information on entrepreneurs, small and medium companies",,
Start-Biz,Business Registry,Republic of Korea,KR,False,False,True,http://startbiz.go.kr/EP/web/portal/jsp/EP_Default1.jsp,Available: only in Korean,,
Korea Exchange,Business Registry,Republic of Korea,KR,False,False,True,http://eng.krx.co.kr/m6/m6_1/m6_1_1/JHPENG06001_01.jsp,Available: a list of issuers with basic company information,,
Comisión Nacional del Mercado de Valores,Business Registry,Spain,ES,True,True,True,http://www.cnmv.es/Portal/Consultas/BusquedaPorEntidad.aspx,Available: detailed company information for fees between 2 and 9 Euros; All the information this public organization collects is then published in BORME - the official bulletin of the Registro Mercantil,,
Registro Mercantil Central,Business Registry,Spain,ES,True,True,True,http://www.rmc.es/Home.aspx?lang=en,Available: company search and detailed company information,,
Boletín Oficial del Estado,Gazette,Spain,ES,False,True,True,http://www.boe.es/buscar/index.php?lang=en,Available: notifications about company changes,,
Boletín Oficial del Estado,Gazette,Spain,ES,False,True,True,http://www.boe.es/diario_borme/,Available: the latest issuer of the official gazette,,
Westlaw,Court Registry,Spain,ES,False,True,True,http://www.westlaw.es/index_eng.html,"Available: only rulings can be accessed in Spain and they're redacted of the attorneys names and any personal names (which are also changed) however, company names are kept",,
General Judiciary Council,Court Registry,Spain,ES,False,True,True,http://www.poderjudicial.es/cgpj/es/Poder_Judicial,"Available: info on litigation; only rulings can be accessed in Spain and they're redacted of the attorneys names and any personal names (which are also changed) however, company names are kept",,
VLex,Commercial Register,GLOBAL,GLOBAL,True,True,False,http://vlex.com,"Available: legal documents from Spain, US, Mexico, Brazil, Colombia, Chile",,
Finansinspektionen,Business Registry,Sweden,SE,False,False,True,https://fiappl.fi.se/FinansCentralen/search/Search.aspx,"Available: annual and quarterly reports, stock-affecting information, flagging information",,
Skatteverket,Regulatory Agency,Sweden,SE,False,False,True,http://www.skatteverket.se/otherlanguages/inenglish.4.3a2a542410ab40a421c80006827.html,"Available: personal information on individuals (personal registration number, address, family members, income related to business)",,
Bolagsverket,Commercial Register,Sweden,SE,True,False,False,https://www.bolagsverket.se/ol/other/engelska-1.8229,Available: purchase of more detailed company profiles,,
Central Business Names Index,Business Registry,Switzerland,CH,False,False,True,http://www.zefix.ch/,Available: search by company name or number and detailed company information,,
Swiss Official Gazette,Gazette,Switzerland,CH,False,False,True,https://www.shab.ch/shabforms/COMMON/application/applicationGrid.jsp?newLanguage=EN,Available: information about company changes,,
Damascus Securities Exchange,Business Registry,Syrian Arab Republic,SY,False,False,True,http://www.dse.sy/user/?page=issuers_company&lang=en,Available: a list of issuers and basic company information,,
Ministry of Economy,Business Registry,Syrian Arab Republic,SY,False,False,True,http://www.syrecon.org/index.php?module=subjects&func=printsubject&subid=82&scope=page,Available: rulles and regulations for all business entities in Syria. More information could be available at request,,
Registrars of Spain,Land Registry,Spain,ES,True,True,True,http://www.registradores.org/en/index.jsp,Available: information about land and property in Spain,,
Department of Commerce,Business Registry,Taiwan,TW,False,False,True,https://gcis.nat.gov.tw/pub/cmpy/cmpyInfoListAction.do,"Available: only in Chinese (traditional Han), a search by name, English name, address or number",,
Market Observation Post System,Business Registry,Taiwan,TW,False,False,True,http://emops.twse.com.tw/emops_all.htm,Available: basic information about listed issuers,,
Stock Exchange of Thailand,Business Registry,Thailand,TH,False,False,True,http://www.set.or.th/en/company/companylist.html,Available: basic information about listed issuers,,
Ministry of Commerce,Business Registry,Thailand,TH,False,False,True,http://www.dbd.go.th/dbdweb_EN/main.php?filename=index,"Available: search by company name, type or number with basic company information",,
Companies Office,Business Registry,Kingdom of Tonga,TO,False,False,True,http://www.companies.gov.to/cms/banner_template/CNAME,Available: search by company name or number with basic company information,,
Chamber of Commerce and Industry,Business Registry,Togo,TG,False,False,True,http://www.ccit.tg/,No online search is available.,,
Companies Registry,Business Registry,Trinidad and Tobago,TT,False,False,True,https://rgd.legalaffairs.gov.tt/,Available: search by company name with basic company information,,
Trinidad and Tobago Stock Exchange,Business Registry,Trinidad and Tobago,TT,False,False,True,http://www.stockex.co.tt/controller.php?action=listed_companies,Available:a list of issuers with basic company information,,
Istanbul Precious Metals and Diamond Market,Business Registry,Turkey,TR,False,False,True,http://www.iab.gov.tr/members.asp,Available:a list of all authorised companies with basic company information,,
Central Registration System,Business Registry,Turkey,TR,False,False,True,http://mersis.gumrukticaret.gov.tr/Mersis/%C5%9EirketSorgulama.aspx,,,
Turkish Trade Registry Gazette,Gazette,Turkey,TR,False,True,True,http://www.ticaretsicil.gov.tr/english/,,,
State Enterprise Information Resource Center,Business Registry,Ukraine,UA,False,False,True,http://irc.gov.ua/ua/Poshuk-v-YeDR.html,,,
Ukrainian Stock Exchange,Business Registry,Ukraine,UA,False,False,True,http://www.ukrse.kiev.ua/eng/,Available: a list of members and basic issuers information,,
The State Commission for Regulations of Financial Services Markets,Regulatory Agency,Ukraine,UA,False,False,True,http://dfp.gov.ua/413.html,"Available: a registry of all participants on financial market, auditors, banks, comissions, etc.",,
Ukrainian Public Procurement,Regulatory Agency,Ukraine,UA,False,False,True,https://tender.me.gov.ua/EDZFrontOffice/menu/en/;jsessionid=e6587fd4a2ef4f1a77b7f2e99f2a,Available: a registry of all public procurements,,
Unified State Register of Court Decisions,Court Registry,Ukraine,UA,False,False,True,http://www.reyestr.court.gov.ua/,"Available: state court rulings available for search by: name, case number, court code",,
Unified Register of Non-Government Organizations,Business Registry,Ukraine,UA,False,False,True,http://rgf.informjust.ua/home/index,,,
Ministry of Economy,Business Registry,United Arab Emirates,AE,False,False,True,http://cbls.economy.gov.ae/,Available: search by Arabic or English name and basic company information,,
Dubai Financial Services Authority,Business Registry,United Arab Emirates,AE,False,False,True,http://www.dfsa.ae/PublicReqister/Default.aspx,Available: a registry of participants on financial market,,
Abu Dhabi Securities Exchange,Business Registry,United Arab Emirates,AE,False,False,True,http://www.adx.ae/English/Securities/Pages/ListedCompanies.aspx,Available: a registry of participants on the market,,
Abu Dhabi Chamber of Commerce,Business Registry,United Arab Emirates,AE,False,False,True,https://business.abudhabi.ae/egovPoolPortal_WAR/appmanager/ADeGP/Business?_nfpb=true&_pageLabel=P2800547921215097790384&lang=en,Available: search by English name and basic company information,,
Abu Dhabi Business Center,Business Registry,United Arab Emirates,AE,False,False,True,https://adbc.abudhabi.ae/CitizenAccess/Cap/CapHome.aspx?module=Licenses&TabName=LICENSES&FilterName=TRADENAME#SearchLicenses,Available: search for business licence by Number,,
Abu Dhabi Commercial Directory,Business Registry,United Arab Emirates,AE,False,False,True,https://online.abudhabichamber.ae/aspApp2012/online_information/adcd/g_search2.asp?P=0,"Available: search by name, phone number, email address or key word",,
Ajman Free Zone Authority,Business Registry,United Arab Emirates,AE,False,True,True,http://www.afza.gov.ae/en/index.php?option=com_content&view=article&id=193&Itemid=267,,,
Dubai Department of Economic Development,Business Registry,United Arab Emirates,AE,False,True,True,http://www.dubaided.gov.ae/eServices/Pages/Anon/TNSrch.aspx?PID=10106&LID=&sname=Search_Trade_Names,Available; trade name search in Arabic only,,
Dubai Chamber of Commerce,Business Registry,United Arab Emirates,AE,False,False,True,"http://www.dubaichamber.ae/portal/page?_pageid=53,3213,53_3170&_dad=portal&_schema=PORTAL",Available; trade name search in English and a directory of companies,,
Dubai International Financial Centre,Business Registry,United Arab Emirates,AE,False,False,True,http://www.difc.ae/browse-directory,Available: directory of clients,,
Dubai Jebel Ali Freezone,Business Registry,United Arab Emirates,AE,False,False,True,http://eservices.dubaitrade.ae/clientdirectory/clientsSearch.do,Available: directory of clients,,
Dubai Airport Freezone,Business Registry,United Arab Emirates,AE,False,False,True,http://dafz-directory.com/,Available: directory of clients,,
Fujairah Ali Freezone,Business Registry,United Arab Emirates,AE,False,False,True,http://www.fujairahfreetradezone.com/appdir/company-listing.php,Available: directory of clients,,
Sharajah Chamber of Commerce and Industry,Business Registry,United Arab Emirates,AE,False,False,True,http://www.sharjah.gov.ae/EN/Services/Pages/BusinessDirectory.aspx,Available: directory of registered companies,,
Hamriyah Freezone Authority,Business Registry,United Arab Emirates,AE,False,False,True,http://www.hfza.ae/en-us/directory.aspx,Available: directory of registered companies,,
Companies House,Business Registry,United Kingdom,UK,True,False,True,http://www.companieshouse.co.uk/,Available: active and dissolved companies search with detailed historical company information and original documents,,
The Financial Services Register,Regulatory Agency,United Kingdom,UK,False,False,True,http://www.fsa.gov.uk/register/psdFirmSearchForm.do,"Available: all companies authorised to carry out payment services, credit card issuers and merchant acquirers",,
London Stock Exchange,Business Registry,United Kingdom,UK,False,False,True,http://www.londonstockexchange.com/prices-and-markets/markets/prices.htm,"Available: list of issuers, detailed company information and reports",,
DueDil,Commercial Register,United Kingdom,UK,False,True,False,https://www.duedil.com/,Available: active and dissolved companies search with detailed information on directors and financials. For most companies current shareholder is also available. Original documents are also available for purchase.,,
NYSE Euronext,Business Registry,United States of America,US,False,False,False,http://www.nyse.com/bonds/nysebonds/1176331077609.html,Available: list of bonds and detailed information about them,,
Chicago Stock Exchange,Business Registry,United States of America,US,False,False,False,http://www.chx.com/content/Trading_Information/TI_tape_A.asp,"Available: traded issues (Tape A, Tape B, Tape C); symbol, issue name, listing market, tape",,
United States Securities and Exchange Commission,Business Registry,United States of America,US,True,True,True,https://www.sec.gov/edgar/searchedgar/companysearch.html,Available: all SEC filings of companies,,
Arkansas Secretary of State,Business Registry,United States of America,US,False,False,True,http://www.sos.arkansas.gov/corps/search_all.php,Available: search for company name or fictitious name with basic company information,,
Alabama Secretary of State,Business Registry,United States of America,US,False,False,True,http://www.sos.alabama.gov/vb/inquiry/inquiry.aspx?area=Business%20Entity,Available: search for company name or number with basic company information,,
"Alaska Dept. of Commerce, Community, and Economic Development",Business Registry,United States of America,US,False,False,True,http://commerce.alaska.gov/CBP/Main/SearchInfo.aspx,Available: search for company name or number with basic company information,,
Arizona Corporation Commission,Business Registry,United States of America,US,False,False,True,http://starpas.azcc.gov/scripts/cgiip.exe/WService=wsbroker1/connect.p?app=names-report.p,Available: search for company name or number with basic company information,,
California Secretary of State,Business Registry,United States of America,US,False,False,True,http://kepler.sos.ca.gov/,Available: search for company name or number with basic company information,,
Colorado Secretary of State,Business Registry,United States of America,US,False,False,True,http://www.sos.state.co.us/biz/BusinessEntityCriteriaExt.do,Available: search for company name or number with basic company information,,
Connecticut Secretary of State,Business Registry,United States of America,US,False,False,True,http://www.concord-sots.ct.gov/CONCORD/online?sn=InquiryServlet&eid=99,Available: search for company name or number with basic company information,,
Delaware Secretary of State,Business Registry,United States of America,US,False,False,True,https://delecorp.delaware.gov/tin/GINameSearch.jsp,Available: search for company name or number with basic company information,,
District of Columbia Corporations Division,Business Registry,United States of America,US,False,True,True,https://corp.dcra.dc.gov/Account.aspx/LogOn?ReturnUrl=%2f,Available: search for company name or number with basic company information,,
Florida Department of State,Business Registry,United States of America,US,False,False,True,http://www.sunbiz.org/,Available: search for company name or number with basic company information,,
Georgia Secretary of State,Business Registry,United States of America,US,False,False,True,http://www.sos.ga.gov/corporations/,Available: search for company name or number with basic company information,,
Hawaii Dept. of Commerce and Consumer Affairs,Business Registry,United States of America,US,False,False,True,https://hbe.ehawaii.gov/documents/search.html,Available: search for company name or number with basic company information,,
Idaho Secretary of State,Business Registry,United States of America,US,False,False,True,http://www.accessidaho.org/public/sos/corp/search.html,Available: search for company name or number with basic company information,,
Illinois Secretary of State,Business Registry,United States of America,US,False,False,True,https://www.cyberdriveillinois.com/departments/business_services/corp.html,Available: search for company name or number with basic company information,,
Indiana Secretary of State,Business Registry,United States of America,US,False,False,True,https://secure.in.gov/sos/online_corps/name_search.aspx,Available: search for company name or number with basic company information,,
Iowa Secretary of State,Business Registry,United States of America,US,False,False,True,https://sos.iowa.gov/search/business/(S(k0soxffnslki2tbo44kxg545))/search.aspx,Available: search for company name or number with basic company information,,
Kansas Secretary of State,Business Registry,United States of America,US,False,False,True,https://www.kansas.gov/bess/flow/main?execution=e1s1,Available: search for company name or number with basic company information,,
Kentucky Secretary of State,Business Registry,United States of America,US,False,False,True,https://app.sos.ky.gov/ftsearch/,Available: search for company name or number with basic company information,,
Louisiana Secretary of State,Business Registry,United States of America,US,False,False,True,http://www.sos.la.gov/BusinessServices/SearchForLouisianaBusinessFilings/Pages/default.aspx,Available: search for company name or number with basic company information,,
Maine Secretary of State,Business Registry,United States of America,US,False,False,True,https://icrs.informe.org/nei-sos-icrs/ICRS?MainPage,Available: search for company name or number with basic company information,,
Maryland Dept. of Assesments and Taxation,Business Registry,United States of America,US,False,False,True,http://sdatcert3.resiusa.org/UCC-Charter/CharterSearch_f.aspx,Available: search for company name or number with basic company information,,
Massachusetts Secretary of the Commonwealth,Business Registry,United States of America,US,False,False,True,https://corp.sec.state.ma.us/corpweb/CorpSearch/CorpSearch.aspx,Available: search for company name or number with basic company information,,
Michigan Dept. of Licensing and Regulatory Affairs,Business Registry,United States of America,US,False,False,True,http://www.dleg.state.mi.us/bcs_corp/sr_corp.asp,Available: search for company name or number with basic company information,,
Minnesota Secretary of State,Business Registry,United States of America,US,False,False,True,http://mblsportal.sos.state.mn.us/,Available: search for company name or number with basic company information,,
Mississippi Secretary of State,Business Registry,United States of America,US,False,False,True,https://business.sos.state.ms.us/corp/soskb/csearch.asp,Available: search for company name or number with basic company information,,
Missouri Secretary of State,Business Registry,United States of America,US,False,False,True,https://www.sos.mo.gov/BusinessEntity/soskb/csearch.asp,Available: search for company name or number with basic company information,,
Montana Secretary of State,Business Registry,United States of America,US,False,False,True,https://app.mt.gov/bes/,Available: search for company name or number with basic company information,,
Nebraska Secretary of State,Business Registry,United States of America,US,False,False,True,https://www.nebraska.gov/sos/corp/corpsearch.cgi,Available: search for company name or number with basic company information,,
Nevada Secretary of State,Business Registry,United States of America,US,False,False,True,https://nvsos.gov/sosentitysearch/,Available: search for company name or number with basic company information,,
New Hampshire Secretary of State,Business Registry,United States of America,US,False,False,True,https://www.sos.nh.gov/corporate/soskb/csearch.asp,Available: search for company name or number with basic company information,,
New Jersey Division of Revenue and Enterprise Services,Business Registry,United States of America,US,False,False,True,https://www.njportal.com/DOR/businessrecords/,Available: search for company name or number with basic company information,,
New Mexico Secretary of State,Business Registry,United States of America,US,False,False,True,https://portal.sos.state.nm.us/corps/Corplookup/Lookdn.aspx?AspxAutoDetectCookieSupport=1,Available: search for company name or number with basic company information,,
New York Secretary of State,Business Registry,United States of America,US,False,False,True,http://www.dos.ny.gov/corps/bus_entity_search.html,Available: search for company name or number with basic company information,,
North Carolina Secretary of State,Business Registry,United States of America,US,False,False,True,https://www.secretary.state.nc.us/corporations/CSearch.aspx,Available: search for company name or number with basic company information,,
North Dakota Secretary of State,Business Registry,United States of America,US,False,False,True,https://apps.nd.gov/sc/busnsrch/busnSearch.htm,Available: search for company name or number with basic company information,,
Ohio Secretary of State,Business Registry,United States of America,US,False,False,True,http://www2.sos.state.oh.us/pls/bsqry/f?p=100:1:0:::::,Available: search for company name or number with basic company information,,
Oklahoma Secretary of State,Business Registry,United States of America,US,False,False,True,https://www.sos.ok.gov/corp/corpInquiryFind.aspx,Available: search for company name or number with basic company information,,
Oregon Secretary of State,Business Registry,United States of America,US,False,False,True,http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.login,Available: search for company name or number with basic company information,,
Pennsylvania Department of State,Business Registry,United States of America,US,False,False,True,https://www.corporations.state.pa.us/corp/soskb/csearch.asp,Available: search for company name or number with basic company information,,
Rhode Island Secretary of State,Business Registry,United States of America,US,False,False,True,http://ucc.state.ri.us/CorpSearch/CorpSearchInput.asp,Available: search for company name or number with basic company information,,
South Carolina Secretary of State,Business Registry,United States of America,US,False,False,True,http://www.sos.sc.gov/Search%20Business%20Filings,Available: search for company name or number with basic company information,,
South Dakota Secretary of State,Business Registry,United States of America,US,False,False,True,https://sdsos.gov/Business/Search.aspx,Available: search for company name or number with basic company information,,
Tennessee Secretary of State,Business Registry,United States of America,US,False,False,True,https://tnbear.tn.gov/ECommerce/FilingSearch.aspx,Available: search for company name or number with basic company information,,
Texas Comptroller of Public Accounts,Business Registry,United States of America,US,False,True,True,https://ourcpa.cpa.state.tx.us/coa/Index.html,Available: search for company name or number with basic company information,,
Utah Division of Corporations and Commercial Code,Business Registry,United States of America,US,False,False,True,https://secure.utah.gov/bes/,Available: search for company name or number with basic company information,,
Vermont Secretary of State,Business Registry,United States of America,US,False,False,True,http://corps.sec.state.vt.us/corpbrow.aspx,Available: search for company name or number with basic company information,,
