agency,db_type,country_name,country,paid,registration_required,government_db,url,notes,blog_post,video_url
Registry of Securities of the Federation BiH,Business Registry,Bosnia and Herzegovina,BA,False,False,True,http://www.rvp.ba/english/Section2/SubSection1/Default.aspx,Available: a list of shareholders of all publicaly traded companies,,
Securities Commission of Republika Srpska,Business Registry,Bosnia and Herzegovina,BA,False,False,True,http://www.crhovrs.org/index.php?option=com_lqm&task=showPane&application=1&query=1&Itemid=23&lang=en,Available: a list of shareholders of all publicaly traded companies,,
Banja Luka Stock Exchange,Business Registry,Bosnia and Herzegovina,BA,False,False,True,http://www.blberza.com/Pages/Default.aspx,Available: financial reports of issuers,,
Sarajevo Stock Exchange,Business Registry,Bosnia and Herzegovina,BA,False,False,True,http://195.222.43.81/sase-final/,Available: financial reports of issuers,,
Registers of Business Entities,Business Registry,Bosnia and Herzegovina,BA,False,False,True,"http://bizreg.pravosudje.ba/pls/apex/f?p=186:20:3456335640372414::NO::P20_SEKCIJA_TIP,P20_POMOC:PRETRAGA,FALSE","Available: registry of companies from Federation of Bosnia and Herzegovina, Republic of Srpska and Brcko District",,
Ministry of Trade and Industry,Business Registry,Botswana,BW,False,False,True,http://www.mtinamesearch.gov.bw/search/,"Available for search: companies, trademarks, business names",,
La Maison De L'Enterprise,Business Registry,Burkina Faso,BF,False,False,True,http://www.me.bf/templates/fichiers/page-recherche-fr.php,,,
Chamber of Commerce and Industry of Burkina Faso,Business Registry,Burkina Faso,BF,False,False,True,http://www.cci.bf/?q=en/entreprise,Available: only basic company information,,
BM&FBOVESPA,Commercial Register,Brazil,BR,False,False,False,http://www.bmfbovespa.com.br/cias-listadas/empresas-listadas/BuscaEmpresaListada.aspx?Idioma=en-us,Available: a list of foreign investors,,
Chamber of Commerce and Industry,Business Registry,Burundi,BI,False,False,True,http://www.cfcib.org/,No online search available,,
British Columbia Registry Services,Business Registry,Canada,CA,True,False,True,http://www.bcregistryservices.gov.bc.ca/bcreg/corppg/crsearch.page?,Online search not available,,
British Columbia Securities Comisseion,Business Registry,Canada,CA,False,False,True,http://www.bcsc.bc.ca/reportingIssuers.aspx,Available: all financial reports of issuers.,,
