blog_post,government_db,registration_required,video_url,url,country,db_type,agency,paid,notes
,True,False,,http://www.sharjah.gov.ae/EN/Services/Pages/BusinessDirectory.aspx,AE,business,Sharajah Chamber of Commerce and Industry,False,Available: directory of registered companies
,True,False,,http://sdatcert3.resiusa.org/UCC-Charter/CharterSearch_f.aspx,US,business,Maryland Dept. of Assesments and Taxation,False,Available: search for company name or number with basic company information
,True,False,,https://portal.mvp.bafin.de/database/InstInfo/,DE,regulatory,Federal Financial Supervisory Authority,False,Available: search of listed companies and reports. Only available in German
,True,False,,http://cacnigeria.org/jm/,NG,business,Corporate Affairs Commission,False,Online search is not availablw
,True,False,,http://eng.krx.co.kr/m6/m6_1/m6_1_1/JHPENG06001_01.jsp,KR,business,Korea Exchange,False,Available: a list of issuers with basic company information
,True,False,,http://www.facilita.al.gov.br/consultaprevia,BR,business,Government of Alagoas,False,Available only in Portuguese
,True,True,,http://www.jucesc.sc.gov.br/index.php/pesquisa-de-nome,BR,business,Commercial Registry of Santa Catarina,False,Available only in Portuguese
,False,False,,http://dz.kompass.com/en,DZ,business,Kompass,False,
,True,True,,http://www.rik.ee/en/e-business-register,EE,business,Centre of Registers and Information Systems,True,Available: detailed company information
,True,False,,http://www.skatteverket.se/otherlanguages/inenglish.4.3a2a542410ab40a421c80006827.html,SE,regulatory,Skatteverket,False,"Available: personal information on individuals (personal registration number, address, family members, income related to business)"
,True,False,,http://www.bvb.ro/Companies/ListedCompanies.aspx,RO,business,Bucharest Stock Exchange,False,
,True,False,,http://www.sos.arkansas.gov/corps/search_all.php,US,business,Arkansas Secretary of State,False,Available: search for company name or fictitious name with basic company information
,True,False,,http://www.cro.ie/search/CompanySearch.aspx,IE,business,Companies Registration Office,False,
,True,False,,http://www.cnvmr.ro/RCNVM/index.htm,RO,business,Registrul CNVM,False,
,True,False,,http://www.sec.gov.ng/,NG,business,Securities and Exchange Commission,False,Available: regulation of market and statistics
,True,False,,http://www.zse.hr/default.aspx?id=26484,HR,business,The Zagreb Stock Exchange,False,"Available: all listed bonds, shares, issuers and their reports"
,True,True,,https://www.supercias.gov.ec/Web/privado/seguridad/htm/servicios%20personalizados.htm,EC,business,Superintendencia de Compañías Ecuador,False,Available only to subscribers
,True,True,,http://www.gov.hk/en/residents/taxes/etax/services/brn_enquiry.htm,HK,business,Hong Kong Government,True,"Available: a procedure for obtaining information about ""unlimited"" companies in Hong Kong"
,True,True,,https://corp.dcra.dc.gov/Account.aspx/LogOn?ReturnUrl=%2f,US,business,District of Columbia Corporations Division,False,Available: search for company name or number with basic company information
,True,True,,http://www.registradores.org/en/index.jsp,ES,,Registrars of Spain,True,Available: information about land and property in Spain
,True,False,,https://sccefile.scc.virginia.gov/Find/Business,US,business,Virginia State Corporation Cimmission,False,Available: search for company name or number with basic company information
,True,False,,http://www.business.govt.nz/companies/app/ui/pages/companies/search,NZ,business,Companies Office,False,Available: detailed company information
,True,False,,http://en.tsetmc.com/Loader.aspx?ParTree=121C1417,IR,business,Teheran Stock Exchange,False,Available: basic information for all listed companies and reports for some
,True,True,,https://www.jucees.es.gov.br/#informacoes_buscaNire.php,BR,business,Commercial Registry of Espírito Santo,False,Available only in Portuguese
